trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-143.27507442836932,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-59.79063355455257,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,0,-58.593092700268585,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96}",25,13,-99.72597314812243,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.95}",25,13,-2.2806524739472804,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.94}",25,0,-163.18264766479362,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,2,-85.26207234926517,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-5.764116322972361,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-62.588903751614424,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-172.28232802136267,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-196.39948016846654,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-41.869247666472916,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-166.7406451846227,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-134.31500189219278,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-94.27031000795091,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-73.94454957150994,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-135.655724789071,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-129.43070897585358,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,-130.683254065713,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-174.16190549920853,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,0,-243.40270029397465,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-74.75026365881155,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,0,-13.394402355274615,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,10,15.16211505408192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,3,-8.843069652895322,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-55.100249549412226,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-120.85197733904323,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-168.30284192259933,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",30,0,-70.00025289226802,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-104.5019813010743,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",30,13,-13.181408026971194,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-52.15199587453639,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-40.65514113999044,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-75.96105884527825,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-149.2006474091306,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-73.56398515989657,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,8,19.49800004985608,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",30,0,-58.865588987531176,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-54.373714048005496,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-83.73210550569041,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,0,-22.11831799658249,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-32.16177640358908,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,12,-11.10500569005059,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,3,-5.872344293623053,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-67.8308677147871,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,1,-15.635686429230452,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,9,11.753128980980934,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
