trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.757797423739,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-211.03707303566958,"{0: 15, 1: 8, 2: 3, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-238.69223340252287,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.50190910190126,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.16831240634906,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.42758651165033,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.45424919300167,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,10,-106.23774994349085,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.3967924906921,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.60970913996083,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.45422250119798,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,3,-89.4835650901002,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.3541111156512,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.69134219031343,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.1580006192446,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,3,-89.96636386717503,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.26698569327408,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.75706375236274,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,7,7.30208170264443,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.64106753240678,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.90189214105808,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.66843519925557,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,16,-37.358542493765164,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,12,-79.26243205679789,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.39969522895066,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-210.37211479803645,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-86.10802337824742,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-46.39464860605792,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-194.01928438804762,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,9,-24.80430746278631,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
